Source,Target,Label
207,209,85138695494
207,210,85138695494
207,193,85138695494
208,209,85138695494
208,210,85138695494
208,193,85138695494
209,210,85138695494
209,193,85138695494
210,193,85138695494
211,208,85151167849
211,206,85151167849
211,209,85151167849
211,210,85151167849
211,205,85151167849
211,193,85151167849
208,206,85151167849
208,209,85151167849
208,210,85151167849
208,205,85151167849
208,193,85151167849
206,209,85151167849
206,210,85151167849
206,205,85151167849
206,193,85151167849
209,210,85151167849
209,205,85151167849
209,193,85151167849
210,205,85151167849
210,193,85151167849
205,193,85151167849
212,213,85173485095
212,193,85173485095
212,214,85173485095
213,193,85173485095
213,214,85173485095
193,214,85173485095
215,193,85163591010
215,216,85163591010
193,216,85163591010
217,218,85163022794
217,219,85163022794
217,220,85163022794
217,206,85163022794
217,193,85163022794
218,219,85163022794
218,220,85163022794
218,206,85163022794
218,193,85163022794
219,220,85163022794
219,206,85163022794
219,193,85163022794
220,206,85163022794
220,193,85163022794
206,193,85163022794
221,208,85146232350
221,219,85146232350
221,193,85146232350
208,219,85146232350
208,193,85146232350
219,193,85146232350
222,223,85135950534
222,224,85135950534
222,193,85135950534
222,225,85135950534
223,224,85135950534
223,193,85135950534
223,225,85135950534
224,193,85135950534
224,225,85135950534
193,225,85135950534
223,222,85134263431
223,193,85134263431
223,226,85134263431
223,224,85134263431
223,227,85134263431
223,228,85134263431
223,225,85134263431
222,193,85134263431
222,226,85134263431
222,224,85134263431
222,227,85134263431
222,228,85134263431
222,225,85134263431
193,226,85134263431
193,224,85134263431
193,227,85134263431
193,228,85134263431
193,225,85134263431
226,224,85134263431
226,227,85134263431
226,228,85134263431
226,225,85134263431
224,227,85134263431
224,228,85134263431
224,225,85134263431
227,228,85134263431
227,225,85134263431
228,225,85134263431
226,229,85129844953
226,230,85129844953
226,231,85129844953
226,193,85129844953
229,230,85129844953
229,231,85129844953
229,193,85129844953
230,231,85129844953
230,193,85129844953
231,193,85129844953
226,232,85127723312
226,223,85127723312
226,233,85127723312
226,234,85127723312
226,193,85127723312
232,223,85127723312
232,233,85127723312
232,234,85127723312
232,193,85127723312
223,233,85127723312
223,234,85127723312
223,193,85127723312
233,234,85127723312
233,193,85127723312
234,193,85127723312
235,236,85123617740
235,237,85123617740
235,238,85123617740
235,193,85123617740
236,237,85123617740
236,238,85123617740
236,193,85123617740
237,238,85123617740
237,193,85123617740
238,193,85123617740
239,240,85132523210
239,241,85132523210
239,242,85132523210
239,243,85132523210
239,244,85132523210
239,193,85132523210
239,202,85132523210
240,241,85132523210
240,242,85132523210
240,243,85132523210
240,244,85132523210
240,193,85132523210
240,202,85132523210
241,242,85132523210
241,243,85132523210
241,244,85132523210
241,193,85132523210
241,202,85132523210
242,243,85132523210
242,244,85132523210
242,193,85132523210
242,202,85132523210
243,244,85132523210
243,193,85132523210
243,202,85132523210
244,193,85132523210
244,202,85132523210
193,202,85132523210
245,246,85129027881
245,193,85129027881
246,193,85129027881
226,232,85121588419
226,233,85121588419
226,231,85121588419
226,193,85121588419
232,233,85121588419
232,231,85121588419
232,193,85121588419
233,231,85121588419
233,193,85121588419
231,193,85121588419
247,223,85111946060
247,248,85111946060
247,193,85111946060
247,249,85111946060
247,225,85111946060
223,248,85111946060
223,193,85111946060
223,249,85111946060
223,225,85111946060
248,193,85111946060
248,249,85111946060
248,225,85111946060
193,249,85111946060
193,225,85111946060
249,225,85111946060
250,223,85106926571
250,193,85106926571
250,251,85106926571
250,249,85106926571
250,225,85106926571
223,193,85106926571
223,251,85106926571
223,249,85106926571
223,225,85106926571
193,251,85106926571
193,249,85106926571
193,225,85106926571
251,249,85106926571
251,225,85106926571
249,225,85106926571
208,252,85102646623
208,193,85102646623
252,193,85102646623
253,197,85106723031
253,193,85106723031
197,193,85106723031
216,206,85094950733
216,254,85094950733
216,208,85094950733
216,193,85094950733
206,254,85094950733
206,208,85094950733
206,193,85094950733
254,208,85094950733
254,193,85094950733
208,193,85094950733
255,208,85090963194
255,256,85090963194
255,257,85090963194
255,193,85090963194
208,256,85090963194
208,257,85090963194
208,193,85090963194
256,257,85090963194
256,193,85090963194
257,193,85090963194
256,258,85090201256
256,193,85090201256
256,208,85090201256
258,193,85090201256
258,208,85090201256
193,208,85090201256
197,193,85089393722
197,206,85089393722
197,259,85089393722
197,260,85089393722
197,261,85089393722
197,262,85089393722
197,263,85089393722
197,264,85089393722
197,265,85089393722
193,206,85089393722
193,259,85089393722
193,260,85089393722
193,261,85089393722
193,262,85089393722
193,263,85089393722
193,264,85089393722
193,265,85089393722
206,259,85089393722
206,260,85089393722
206,261,85089393722
206,262,85089393722
206,263,85089393722
206,264,85089393722
206,265,85089393722
259,260,85089393722
259,261,85089393722
259,262,85089393722
259,263,85089393722
259,264,85089393722
259,265,85089393722
260,261,85089393722
260,262,85089393722
260,263,85089393722
260,264,85089393722
260,265,85089393722
261,262,85089393722
261,263,85089393722
261,264,85089393722
261,265,85089393722
262,263,85089393722
262,264,85089393722
262,265,85089393722
263,264,85089393722
263,265,85089393722
264,265,85089393722
266,223,85087656011
266,193,85087656011
266,267,85087656011
266,225,85087656011
223,193,85087656011
223,267,85087656011
223,225,85087656011
193,267,85087656011
193,225,85087656011
267,225,85087656011
268,269,85081291466
268,264,85081291466
268,270,85081291466
268,271,85081291466
268,272,85081291466
268,193,85081291466
268,265,85081291466
269,264,85081291466
269,270,85081291466
269,271,85081291466
269,272,85081291466
269,193,85081291466
269,265,85081291466
264,270,85081291466
264,271,85081291466
264,272,85081291466
264,193,85081291466
264,265,85081291466
270,271,85081291466
270,272,85081291466
270,193,85081291466
270,265,85081291466
271,272,85081291466
271,193,85081291466
271,265,85081291466
272,193,85081291466
272,265,85081291466
193,265,85081291466
273,223,85077534667
273,193,85077534667
273,267,85077534667
273,226,85077534667
273,197,85077534667
273,225,85077534667
223,193,85077534667
223,267,85077534667
223,226,85077534667
223,197,85077534667
223,225,85077534667
193,267,85077534667
193,226,85077534667
193,197,85077534667
193,225,85077534667
267,226,85077534667
267,197,85077534667
267,225,85077534667
226,197,85077534667
226,225,85077534667
197,225,85077534667
274,275,85076303974
274,276,85076303974
274,193,85076303974
274,277,85076303974
274,278,85076303974
274,279,85076303974
274,280,85076303974
275,276,85076303974
275,193,85076303974
275,277,85076303974
275,278,85076303974
275,279,85076303974
275,280,85076303974
276,193,85076303974
276,277,85076303974
276,278,85076303974
276,279,85076303974
276,280,85076303974
193,277,85076303974
193,278,85076303974
193,279,85076303974
193,280,85076303974
277,278,85076303974
277,279,85076303974
277,280,85076303974
278,279,85076303974
278,280,85076303974
279,280,85076303974
274,278,85064269143
274,276,85064269143
274,193,85064269143
274,277,85064269143
274,280,85064269143
278,276,85064269143
278,193,85064269143
278,277,85064269143
278,280,85064269143
276,193,85064269143
276,277,85064269143
276,280,85064269143
193,277,85064269143
193,280,85064269143
277,280,85064269143
258,208,85061274528
258,256,85061274528
258,281,85061274528
258,282,85061274528
258,283,85061274528
258,193,85061274528
208,256,85061274528
208,281,85061274528
208,282,85061274528
208,283,85061274528
208,193,85061274528
256,281,85061274528
256,282,85061274528
256,283,85061274528
256,193,85061274528
281,282,85061274528
281,283,85061274528
281,193,85061274528
282,283,85061274528
282,193,85061274528
283,193,85061274528
223,247,85145623010
223,193,85145623010
223,226,85145623010
223,284,85145623010
223,225,85145623010
247,193,85145623010
247,226,85145623010
247,284,85145623010
247,225,85145623010
193,226,85145623010
193,284,85145623010
193,225,85145623010
226,284,85145623010
226,225,85145623010
284,225,85145623010
285,193,85055522796
285,238,85055522796
193,238,85055522796
250,286,85052745704
250,248,85052745704
250,287,85052745704
250,225,85052745704
250,288,85052745704
250,289,85052745704
250,290,85052745704
250,193,85052745704
250,223,85052745704
286,248,85052745704
286,287,85052745704
286,225,85052745704
286,288,85052745704
286,289,85052745704
286,290,85052745704
286,193,85052745704
286,223,85052745704
248,287,85052745704
248,225,85052745704
248,288,85052745704
248,289,85052745704
248,290,85052745704
248,193,85052745704
248,223,85052745704
287,225,85052745704
287,288,85052745704
287,289,85052745704
287,290,85052745704
287,193,85052745704
287,223,85052745704
225,288,85052745704
225,289,85052745704
225,290,85052745704
225,193,85052745704
225,223,85052745704
288,289,85052745704
288,290,85052745704
288,193,85052745704
288,223,85052745704
289,290,85052745704
289,193,85052745704
289,223,85052745704
290,193,85052745704
290,223,85052745704
193,223,85052745704
258,208,85034985806
258,256,85034985806
258,193,85034985806
208,256,85034985806
208,193,85034985806
256,193,85034985806
193,291,85037616513
193,203,85037616513
193,292,85037616513
193,293,85037616513
193,261,85037616513
193,294,85037616513
193,231,85037616513
291,203,85037616513
291,292,85037616513
291,293,85037616513
291,261,85037616513
291,294,85037616513
291,231,85037616513
203,292,85037616513
203,293,85037616513
203,261,85037616513
203,294,85037616513
203,231,85037616513
292,293,85037616513
292,261,85037616513
292,294,85037616513
292,231,85037616513
293,261,85037616513
293,294,85037616513
293,231,85037616513
261,294,85037616513
261,231,85037616513
294,231,85037616513
193,295,85028468163
193,296,85028468163
193,297,85028468163
193,298,85028468163
193,299,85028468163
193,238,85028468163
193,231,85028468163
295,296,85028468163
295,297,85028468163
295,298,85028468163
295,299,85028468163
295,238,85028468163
295,231,85028468163
296,297,85028468163
296,298,85028468163
296,299,85028468163
296,238,85028468163
296,231,85028468163
297,298,85028468163
297,299,85028468163
297,238,85028468163
297,231,85028468163
298,299,85028468163
298,238,85028468163
298,231,85028468163
299,238,85028468163
299,231,85028468163
238,231,85028468163
300,301,85053724272
300,302,85053724272
300,303,85053724272
300,304,85053724272
300,193,85053724272
301,302,85053724272
301,303,85053724272
301,304,85053724272
301,193,85053724272
302,303,85053724272
302,304,85053724272
302,193,85053724272
303,304,85053724272
303,193,85053724272
304,193,85053724272
208,256,85018325864
208,193,85018325864
256,193,85018325864
208,274,85017457541
208,305,85017457541
208,231,85017457541
208,193,85017457541
274,305,85017457541
274,231,85017457541
274,193,85017457541
305,231,85017457541
305,193,85017457541
231,193,85017457541
306,193,84990924595
234,307,85005992550
234,308,85005992550
234,309,85005992550
234,193,85005992550
307,308,85005992550
307,309,85005992550
307,193,85005992550
308,309,85005992550
308,193,85005992550
309,193,85005992550
310,311,85014646471
310,312,85014646471
310,193,85014646471
311,312,85014646471
311,193,85014646471
312,193,85014646471
313,314,84981727572
313,198,84981727572
313,315,84981727572
313,193,84981727572
313,316,84981727572
314,198,84981727572
314,315,84981727572
314,193,84981727572
314,316,84981727572
198,315,84981727572
198,193,84981727572
198,316,84981727572
315,193,84981727572
315,316,84981727572
193,316,84981727572
306,193,84978050005
300,301,84955122404
300,302,84955122404
300,303,84955122404
300,304,84955122404
300,193,84955122404
301,302,84955122404
301,303,84955122404
301,304,84955122404
301,193,84955122404
302,303,84955122404
302,304,84955122404
302,193,84955122404
303,304,84955122404
303,193,84955122404
304,193,84955122404
317,318,85013443453
317,193,85013443453
317,305,85013443453
317,319,85013443453
317,320,85013443453
317,321,85013443453
318,193,85013443453
318,305,85013443453
318,319,85013443453
318,320,85013443453
318,321,85013443453
193,305,85013443453
193,319,85013443453
193,320,85013443453
193,321,85013443453
305,319,85013443453
305,320,85013443453
305,321,85013443453
319,320,85013443453
319,321,85013443453
320,321,85013443453
322,323,85013442831
322,324,85013442831
322,325,85013442831
322,193,85013442831
322,326,85013442831
323,324,85013442831
323,325,85013442831
323,193,85013442831
323,326,85013442831
324,325,85013442831
324,193,85013442831
324,326,85013442831
325,193,85013442831
325,326,85013442831
193,326,85013442831
327,328,84971577824
327,329,84971577824
327,330,84971577824
327,331,84971577824
327,193,84971577824
328,329,84971577824
328,330,84971577824
328,331,84971577824
328,193,84971577824
329,330,84971577824
329,331,84971577824
329,193,84971577824
330,331,84971577824
330,193,84971577824
331,193,84971577824
332,193,84944352110
332,238,84944352110
332,333,84944352110
332,334,84944352110
332,335,84944352110
332,336,84944352110
332,337,84944352110
332,293,84944352110
193,238,84944352110
193,333,84944352110
193,334,84944352110
193,335,84944352110
193,336,84944352110
193,337,84944352110
193,293,84944352110
238,333,84944352110
238,334,84944352110
238,335,84944352110
238,336,84944352110
238,337,84944352110
238,293,84944352110
333,334,84944352110
333,335,84944352110
333,336,84944352110
333,337,84944352110
333,293,84944352110
334,335,84944352110
334,336,84944352110
334,337,84944352110
334,293,84944352110
335,336,84944352110
335,337,84944352110
335,293,84944352110
336,337,84944352110
336,293,84944352110
337,293,84944352110
317,318,84944716501
317,319,84944716501
317,193,84944716501
317,338,84944716501
317,320,84944716501
317,321,84944716501
318,319,84944716501
318,193,84944716501
318,338,84944716501
318,320,84944716501
318,321,84944716501
319,193,84944716501
