Author1,Author2,PaperId
57943728000,57200372107,85186762736
58021019600,57200372107,85186758463
58021019600,24830653800,85186758463
57200372107,24830653800,85186758463
58102893200,57200372107,85179509154
57580687900,57200372107,85176018163
57580687900,57224571557,85176018163
57580687900,58684797700,85176018163
57200372107,57224571557,85176018163
57200372107,58684797700,85176018163
57224571557,58684797700,85176018163
58103023900,58685155300,85176010920
58103023900,57200372107,85176010920
58685155300,57200372107,85176010920
58103023900,57202499664,85175988020
58103023900,57200372107,85175988020
57202499664,57200372107,85175988020
57383160600,57976270500,85148042208
57383160600,58102893200,85148042208
57383160600,58103023900,85148042208
57383160600,57876818100,85148042208
57383160600,57200372107,85148042208
57976270500,58102893200,85148042208
57976270500,58103023900,85148042208
57976270500,57876818100,85148042208
57976270500,57200372107,85148042208
58102893200,58103023900,85148042208
58102893200,57876818100,85148042208
58102893200,57200372107,85148042208
58103023900,57876818100,85148042208
58103023900,57200372107,85148042208
57876818100,57200372107,85148042208
57190390460,57698123200,85130294087
57190390460,57200372107,85130294087
57190390460,57194658358,85130294087
57698123200,57200372107,85130294087
57698123200,57194658358,85130294087
57200372107,57194658358,85130294087
57200372107,24830653800,85103262038
57200372107,25027558600,85103262038
57200372107,7005829745,85103262038
24830653800,25027558600,85103262038
24830653800,7005829745,85103262038
25027558600,7005829745,85103262038
57944211900,57943728000,85151329242
57944211900,58021019600,85151329242
57944211900,57361425500,85151329242
57944211900,57221978643,85151329242
57944211900,57200372107,85151329242
57943728000,58021019600,85151329242
57943728000,57361425500,85151329242
57943728000,57221978643,85151329242
57943728000,57200372107,85151329242
58021019600,57361425500,85151329242
58021019600,57221978643,85151329242
58021019600,57200372107,85151329242
57361425500,57221978643,85151329242
57361425500,57200372107,85151329242
57221978643,57200372107,85151329242
57983459100,57203207065,85142717115
57983459100,57983926500,85142717115
57983459100,57982518300,85142717115
57983459100,57982745800,85142717115
57983459100,57200372107,85142717115
57203207065,57983926500,85142717115
57203207065,57982518300,85142717115
57203207065,57982745800,85142717115
57203207065,57200372107,85142717115
57983926500,57982518300,85142717115
57983926500,57982745800,85142717115
57983926500,57200372107,85142717115
57982518300,57982745800,85142717115
57982518300,57200372107,85142717115
57982745800,57200372107,85142717115
57383818900,57212004450,85140788216
57383818900,57200372107,85140788216
57212004450,57200372107,85140788216
57223106589,57223107006,85125403847
57223106589,57223102465,85125403847
57223106589,57200372107,85125403847
57223107006,57223102465,85125403847
57223107006,57200372107,85125403847
57223102465,57200372107,85125403847
57467597200,57200372107,85125286724
57212004450,57383818900,85121646170
57212004450,57200372107,85121646170
57383818900,57200372107,85121646170
57223106589,57223107006,85104854964
57223106589,57223102465,85104854964
57223106589,57200372107,85104854964
57223107006,57223102465,85104854964
57223107006,57200372107,85104854964
57223102465,57200372107,85104854964
57200372107,24830653800,85041005603
57200372107,56757753900,85041005603
57200372107,7005829745,85041005603
24830653800,56757753900,85041005603
24830653800,7005829745,85041005603
56757753900,7005829745,85041005603
57200372107,25027558600,85054935548
57200372107,24830653800,85054935548
57200372107,7005829745,85054935548
25027558600,24830653800,85054935548
25027558600,7005829745,85054935548
24830653800,7005829745,85054935548
57215955901,8584012400,85063135697
57215955901,22033780200,85063135697
57215955901,25621300600,85063135697
57215955901,57200372107,85063135697
57215955901,8239870700,85063135697
57215955901,7005829745,85063135697
57215955901,24830653800,85063135697
8584012400,22033780200,85063135697
8584012400,25621300600,85063135697
8584012400,57200372107,85063135697
8584012400,8239870700,85063135697
8584012400,7005829745,85063135697
8584012400,24830653800,85063135697
22033780200,25621300600,85063135697
22033780200,57200372107,85063135697
22033780200,8239870700,85063135697
22033780200,7005829745,85063135697
22033780200,24830653800,85063135697
25621300600,57200372107,85063135697
25621300600,8239870700,85063135697
25621300600,7005829745,85063135697
25621300600,24830653800,85063135697
57200372107,8239870700,85063135697
57200372107,7005829745,85063135697
57200372107,24830653800,85063135697
8239870700,7005829745,85063135697
8239870700,24830653800,85063135697
7005829745,24830653800,85063135697
57216317307,57219655596,85191756511
57216317307,57541450600,85191756511
57216317307,57195584753,85191756511
57216317307,57215526082,85191756511
57219655596,57541450600,85191756511
57219655596,57195584753,85191756511
57219655596,57215526082,85191756511
57541450600,57195584753,85191756511
57541450600,57215526082,85191756511
57195584753,57215526082,85191756511
58684336400,57876249400,85176002250
58684336400,57876818100,85176002250
58684336400,57541450600,85176002250
57876249400,57876818100,85176002250
57876249400,57541450600,85176002250
57876818100,57541450600,85176002250
57203207065,57541450600,85175953748
57195584753,57216317307,85166781074
57195584753,57541450600,85166781074
57216317307,57541450600,85166781074
42661110600,57541450600,85142473941
42661110600,57219647517,85142473941
42661110600,57580783200,85142473941
57541450600,57219647517,85142473941
57541450600,57580783200,85142473941
57219647517,57580783200,85142473941
57215526082,58020067500,85144200197
57215526082,58021019600,85144200197
57215526082,6505827132,85144200197
57215526082,57541450600,85144200197
58020067500,58021019600,85144200197
58020067500,6505827132,85144200197
58020067500,57541450600,85144200197
58021019600,6505827132,85144200197
58021019600,57541450600,85144200197
6505827132,57541450600,85144200197
57216317307,57219655596,85115863696
57216317307,57541450600,85115863696
57216317307,57195584753,85115863696
57219655596,57541450600,85115863696
57219655596,57195584753,85115863696
57541450600,57195584753,85115863696
57216317307,57541450600,85090602536
57216317307,57195584753,85090602536
57541450600,57195584753,85090602536
57222387436,57222390649,85126818808
57222387436,57541450600,85126818808
57222387436,57219521008,85126818808
57222387436,57219655742,85126818808
57222387436,56192901500,85126818808
57222387436,57200308316,85126818808
57222390649,57541450600,85126818808
57222390649,57219521008,85126818808
57222390649,57219655742,85126818808
57222390649,56192901500,85126818808
57222390649,57200308316,85126818808
57541450600,57219521008,85126818808
57541450600,57219655742,85126818808
57541450600,56192901500,85126818808
57541450600,57200308316,85126818808
57219521008,57219655742,85126818808
57219521008,56192901500,85126818808
57219521008,57200308316,85126818808
57219655742,56192901500,85126818808
57219655742,57200308316,85126818808
56192901500,57200308316,85126818808
57215429533,57215412021,85112606579
57215429533,55989706100,85112606579
57215429533,13805817000,85112606579
57215429533,6507090357,85112606579
57215429533,57541450600,85112606579
57215412021,55989706100,85112606579
57215412021,13805817000,85112606579
57215412021,6507090357,85112606579
57215412021,57541450600,85112606579
55989706100,13805817000,85112606579
55989706100,6507090357,85112606579
55989706100,57541450600,85112606579
13805817000,6507090357,85112606579
13805817000,57541450600,85112606579
6507090357,57541450600,85112606579
42661110600,57219651478,85094621883
42661110600,57541450600,85094621883
42661110600,57219541549,85094621883
57219651478,57541450600,85094621883
57219651478,57219541549,85094621883
57541450600,57219541549,85094621883
57219655596,57541450600,85094569019
57219655596,36519678800,85094569019
57219655596,6505827132,85094569019
57541450600,36519678800,85094569019
57541450600,6505827132,85094569019
36519678800,6505827132,85094569019
57195584753,57219651478,85097268370
57195584753,42661110600,85097268370
57195584753,57541450600,85097268370
57219651478,42661110600,85097268370
57219651478,57541450600,85097268370
42661110600,57541450600,85097268370
55953626900,12240687000,85082140804
55953626900,57541450600,85082140804
12240687000,57541450600,85082140804
57216317307,57215526082,85083089114
57216317307,57541450600,85083089114
57216317307,6507090357,85083089114
57216317307,55989706100,85083089114
57215526082,57541450600,85083089114
57215526082,6507090357,85083089114
57215526082,55989706100,85083089114
57541450600,6507090357,85083089114
57541450600,55989706100,85083089114
6507090357,55989706100,85083089114
56728626400,6507090357,85006085494
