Source,Target,Label,Conteo
85,86,85122660970,1
77,11,85151326273,1
77,43,85151326273,1
77,87,85151326273,1
11,43,85151326273|85151325777,2
11,87,85151326273,1
43,87,85151326273,1
88,11,85151325777,1
88,43,85151325777,1
25,23,85142736640,1
25,11,85142736640,1
23,11,85142736640,1
20,43,85140725572,1
20,11,85140725572,1
43,11,85140725572|85127056253|85121588563,3
89,28,85128925812,1
89,11,85128925812,1
28,11,85128925812,1
12,43,85127056253|85121588563,2
12,85,85127056253,1
12,11,85127056253|85121588563,2
43,85,85127056253,1
85,11,85127056253,1
90,91,85126194923,1
90,11,85126194923,1
91,11,85126194923,1
92,11,85126193052,1
92,93,85126193052,1
92,81,85126193052,1
11,93,85126193052,1
11,81,85126193052|85108700079,2
93,81,85126193052,1
94,11,85121375825,1
95,96,85108700079,1
95,11,85108700079,1
95,97,85108700079,1
95,81,85108700079,1
96,11,85108700079,1
96,97,85108700079,1
96,81,85108700079,1
11,97,85108700079,1
97,81,85108700079,1
86,85,85089305672,1
11,98,85088295237|85077812600,2
98,85,85088295237|85077812600,2
11,82,85084074212,1
11,99,85084074212,1
82,99,85084074212,1
99,85,85084074212,1
11,100,85050497152,1
100,85,85050497152,1
100,83,85050497152,1
85,83,85050497152,1
11,101,85048530545,1
85,101,85048530545,1
102,103,85177785504,1
102,104,85177785504,1
103,104,85177785504,1
77,13,85190408646,1
77,105,85190408646,1
77,103,85190408646,1
77,106,85190408646,1
13,105,85190408646,1
13,103,85190408646,1
13,106,85190408646,1
105,103,85190408646,1
105,106,85190408646,1
103,106,85190408646,1
107,103,85175975430,1
103,108,85135233304|85147923090|85048593501|85038249932|85026361140|85016020257|85008257152|84986005324|84961743290|84921873479,10
103,109,85135233304,1
108,109,85135233304,1
103,110,85147923090|85038249932|85016020257|85008257152,4
103,111,85147923090|85048593501|85038249932|85026361140|85016020257|85008257152|84986005324|84961743290|84921873479,9
108,110,85147923090|85038249932|85016020257|85008257152,4
108,111,85147923090|85048593501|85038249932|85026361140|85016020257|85008257152|84986005324|84961743290|84921873479,9
110,111,85147923090|85038249932|85016020257|85008257152,4
112,43,85142425450,1
112,103,85142425450,1
43,103,85142425450,1
113,103,85130256324|85126197209|85118659496,3
103,113,85123304464,1
103,114,85123304464|85118659496,2
103,115,85123304464|85118659496,2
113,114,85123304464|85118659496,2
113,115,85123304464|85118659496,2
114,115,85123304464|85118659496,2
116,103,84986005324,1
116,117,84986005324,1
116,108,84986005324,1
116,111,84986005324,1
103,117,84986005324,1
117,108,84986005324,1
117,111,84986005324,1
103,102,84961743290,1
108,102,84961743290,1
102,111,84961743290,1
13,23,85179765045,1
13,118,85179765045,1
9,23,85179765045,1
9,118,85179765045,1
9,75,85179765045,1
23,14,85179765045,1
23,118,85179765045,1
23,75,85179765045,1
14,118,85179765045,1
14,75,85179765045,1
118,75,85179765045,1
118,119,85176468136,1
118,120,85176468136|85132912978|85135049986|85133614838|85089170148|85054891996|85042430386|85031433055,8
118,121,85176468136,1
118,122,85176468136,1
118,123,85176468136,1
119,120,85176468136,1
119,121,85176468136,1
119,122,85176468136,1
119,123,85176468136,1
120,121,85176468136,1
120,122,85176468136,1
120,123,85176468136,1
121,122,85176468136,1
121,123,85176468136,1
122,123,85176468136,1
124,120,85171480744,1
124,125,85171480744,1
124,118,85171480744,1
124,126,85171480744,1
120,125,85171480744,1
120,118,85171480744,1
120,126,85171480744,1
125,118,85171480744,1
125,126,85171480744,1
118,126,85171480744,1
127,118,85135049986|85042430386,2
127,120,85135049986|85054891996|85042430386|85031433055,4
118,128,85133614838,1
118,129,85133614838,1
120,128,85133614838,1
120,129,85133614838,1
128,129,85133614838,1
118,130,85089170148,1
120,130,85089170148,1
118,127,85054891996|85031433055,2
118,131,85054891996|85042430386|85031433055,3
118,132,85054891996,1
127,131,85054891996|85042430386|85031433055,3
127,132,85054891996,1
120,131,85054891996|85042430386|85031433055,3
120,132,85054891996,1
131,132,85054891996,1
127,133,85042430386,1
118,133,85042430386,1
120,133,85042430386,1
133,131,85042430386,1
134,135,85166429934,1
134,136,85166429934,1
134,137,85166429934,1
134,138,85166429934,1
134,139,85166429934,1
134,140,85166429934,1
134,141,85166429934,1
135,136,85166429934,1
135,137,85166429934,1
135,138,85166429934,1
135,139,85166429934,1
135,140,85166429934,1
135,141,85166429934,1
136,137,85166429934,1
136,138,85166429934,1
136,139,85166429934,1
136,140,85166429934,1
136,141,85166429934,1
137,138,85166429934,1
137,139,85166429934,1
137,140,85166429934,1
137,141,85166429934,1
138,139,85166429934,1
138,140,85166429934,1
138,141,85166429934,1
139,140,85166429934,1
139,141,85166429934,1
140,141,85166429934,1
142,143,85166328931,1
142,144,85166328931,1
142,139,85166328931,1
142,145,85166328931,1
142,146,85166328931,1
142,147,85166328931,1
143,144,85166328931,1
143,139,85166328931,1
143,145,85166328931,1
143,146,85166328931,1
143,147,85166328931,1
144,139,85166328931,1
144,145,85166328931,1
144,146,85166328931,1
144,147,85166328931,1
139,145,85166328931,1
139,146,85166328931,1
139,147,85166328931,1
145,146,85166328931,1
145,147,85166328931,1
146,147,85166328931,1
148,149,85115079233,1
148,150,85115079233,1
148,139,85115079233|85111031807|85124875159,3
148,151,85115079233|85111031807|85124875159,3
149,150,85115079233,1
149,139,85115079233,1
149,151,85115079233,1
150,139,85115079233|85111031807|85124875159,3
150,151,85115079233|85111031807|85124875159,3
139,151,85115079233|85111031807|85124875159,3
152,139,85121269568,1
152,153,85121269568,1
152,154,85121269568,1
152,155,85121269568,1
139,153,85121269568,1
139,154,85121269568,1
139,155,85121269568,1
153,154,85121269568,1
153,155,85121269568,1
154,155,85121269568,1
150,156,85111031807,1
150,148,85111031807|85124875159,2
150,157,85111031807,1
156,148,85111031807,1
156,139,85111031807,1
156,157,85111031807,1
156,151,85111031807,1
148,157,85111031807,1
139,157,85111031807,1
157,151,85111031807,1
158,159,85107702076,1
158,139,85107702076|85067669968|84893824397,3
159,139,85107702076,1
160,161,85097049656,1
160,162,85097049656,1
160,163,85097049656,1
160,164,85097049656,1
160,165,85097049656,1
160,166,85097049656,1
160,167,85097049656,1
160,168,85097049656,1
160,139,85097049656,1
160,169,85097049656,1
161,162,85097049656,1
161,163,85097049656,1
161,164,85097049656,1
161,165,85097049656,1
161,166,85097049656,1
161,167,85097049656,1
161,168,85097049656,1
161,139,85097049656,1
161,169,85097049656,1
162,163,85097049656,1
162,164,85097049656,1
162,165,85097049656,1
162,166,85097049656,1
162,167,85097049656,1
162,168,85097049656,1
162,139,85097049656,1
162,169,85097049656,1
163,164,85097049656,1
163,165,85097049656,1
163,166,85097049656,1
163,167,85097049656,1
163,168,85097049656,1
163,139,85097049656,1
163,169,85097049656,1
164,165,85097049656,1
164,166,85097049656,1
164,167,85097049656,1
164,168,85097049656,1
164,139,85097049656,1
164,169,85097049656,1
165,166,85097049656,1
165,167,85097049656,1
165,168,85097049656,1
165,139,85097049656,1
165,169,85097049656,1
166,167,85097049656,1
166,168,85097049656,1
166,139,85097049656,1
166,169,85097049656,1
167,168,85097049656,1
167,139,85097049656,1
167,169,85097049656,1
168,139,85097049656,1
168,169,85097049656,1
139,169,85097049656|85079744231,2
158,170,85067669968|84893824397,2
158,171,85067669968|84893824397,2
158,172,85067669968,1
170,171,85067669968,1
170,172,85067669968,1
170,139,85067669968,1
171,172,85067669968,1
171,139,85067669968,1
172,139,85067669968,1
173,139,85079744231,1
173,169,85079744231,1
174,175,85043585807,1
174,176,85043585807,1
174,177,85043585807,1
174,139,85043585807,1
174,142,85043585807,1
175,176,85043585807,1
175,177,85043585807,1
175,139,85043585807,1
175,142,85043585807,1
176,177,85043585807,1
176,139,85043585807,1
176,142,85043585807,1
177,139,85043585807,1
177,142,85043585807,1
139,142,85043585807,1
158,178,84893824397,1
158,179,84893824397,1
